whisky_name,whisky_type,ratings,reviews_count,volume_alcohol_percentage,stock_flag,price,description,image_url,whisky_link
Suntory Kakubin Yellow Label,Blended Japanese Whisky,4.5,(7 Reviews),70cl / 40%,In Stock,£59.45,"Kakubin Yellow Label is Suntory's flagship blended whisky. Produced since 1937, its name means 'square bottle'. A blend of bourbon-cask whisky from Yamazaki and Hakushu, this is a classic example of lighter Japanese whisky and is great in a highball with soda.",https://img.thewhiskyexchange.com/900/japan_sun13.jpg,https://www.thewhiskyexchange.com/p/33964/suntory-kakubin-yellow-label
Suntory Hibiki Harmony 30th Anniversary Edition,Japanese Blended Whisky,5,(7 Reviews),70cl / 43%,In Stock,"£1,800","Hibiki has led the world of Japanese blended whisky since its creation in 1989, and this very-limited-edition release celebrates its 30th birthday.",https://img.thewhiskyexchange.com/900/japan_hib14.jpg,https://www.thewhiskyexchange.com/p/46904/suntory-hibiki-harmony-30th-anniversary-edition
Mars Maltage Cosmo,Japanese Blended Malt Whisky,4,(9 Reviews),70cl / 43%,In Stock,£55.95,"Cosmo from Mars Maltage is a blended malt that includes whisky from Shinshu in Japan. A big hit when released at the 2015 Tokyo International Bar Show, this is a permanent addition to the fledgling distillery's range.",https://img.thewhiskyexchange.com/900/japan_mar4.jpg,https://www.thewhiskyexchange.com/p/29679/mars-maltage-cosmo
Akashi 5 Year Old Sherry Cask Half Litre,Japanese Single Malt Whisky,5,(2 Reviews),50cl / 50%,In Stock,£150,"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky.",https://img.thewhiskyexchange.com/900/japan_aka3.jpg,https://www.thewhiskyexchange.com/p/34461/akashi-5-year-old-sherry-cask-half-litre
Kaiyo Peated Mizunara Oak,Japanese Whisky,,,70cl / 46%,In Stock,£99.95,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish.",https://img.thewhiskyexchange.com/900/japan_kai3.jpg,https://www.thewhiskyexchange.com/p/52590/kaiyo-peated-mizunara-oak
Nikka Tailored,,,,70cl / 43%,In Stock,£110,"Introduced to replace the beloved Nikka 12 Year Old, Tailored is a blend including malt whisky from Nikka's Yoichi and Miyagikyo distilleries and its Coffey Still grain. The whisky balances soft fruity notes with bitter notes of dark chocolate and citrus zest.",https://img.thewhiskyexchange.com/900/japan_nik57.jpg,https://www.thewhiskyexchange.com/p/56182/nikka-tailored
Togouchi Premium Blended Whisky,Japanese Blended Whisky,4.5,(10 Reviews),70cl / 40%,In Stock,£45.25,"Although blended in Japan, Togouchui Premium Whisky is a blend of Scottish malt and Canadian grain. Aged in the town of Togouchi in a tunnel that was originally built for a railway but never used - intriguing!",https://img.thewhiskyexchange.com/900/japan_tog1.jpg,https://www.thewhiskyexchange.com/p/24587/togouchi-premium-blended-whisky
Yamazaki Bourbon Barrel,Japanese Single Malt Whisky,,,70cl / 48.2%,In Stock,"£1,500","One of just 3,000 bottles released to the European market, this is a honeyed single malt with notes of vanilla, cinnamon and walnut. The whisky in this bottling has been aged in ex-bourbon barrels for between 10 to 15 years.",https://img.thewhiskyexchange.com/900/japan_yam42.jpg,https://www.thewhiskyexchange.com/p/34928/yamazaki-bourbon-barrel
Mars Kasei Blended Whisky,Japanese Blended Malt Whisky,5,(2 Reviews),70cl / 40%,In Stock,£42.95,"Mars Kasei blended whisky is a soft, rounded whisky from Shinshu distillery in Japan. The nose is full of gentle white flower aromas and notes of sweet, ripe fruits, while the palate offers notes of warm spices, green apples, white grapes and honey.",https://img.thewhiskyexchange.com/900/japan_mar8.jpg,https://www.thewhiskyexchange.com/p/48272/mars-kasei-blended-whisky
The Tottori Blended Kurayoshi,Blended Japanese Whisky,,,70cl / 43%,In Stock,£42.95,"The flagship expression in Kurayoshi's Tottori range is a blended Japanese whisky with aromas of cream, lemon sponge cake and pine needles, complemented by notes of seeded brown bread, black pepper, almond and soft smoke throughout the palate.",https://img.thewhiskyexchange.com/900/japan_kur4.jpg,https://www.thewhiskyexchange.com/p/62327/the-tottori-blended-kurayoshi
Suntory Toki Glass Pack,Japanese Blended Whisky,,,70cl / 43%,In Stock,£34.95,"A lovely gift set from Suntory, including a bottle of Toki whisky and a stylish highball glass. Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.",https://img.thewhiskyexchange.com/900/japan_sun34.jpg,https://www.thewhiskyexchange.com/p/57521/suntory-toki-glass-pack
Kaiyo Mizunara Oak Cask Strength,Japanese Whisky,5,(3 Reviews),70cl / 53%,In Stock,£110,"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood.",https://img.thewhiskyexchange.com/900/japan_kai2.jpg,https://www.thewhiskyexchange.com/p/45367/kaiyo-mizunara-oak-cask-strength
Nikka Days,,5,(2 Reviews),70cl / 40%,In Stock,£39.95,"A vibrant addition to the Nikka range, Nikka Days is a bright and vivacious blend of malt and grain whiskies from distilleries including both Yoichi and Miyagikyo. Its medium body hosts an array of floral and zesty flavours which mingle effortlessly with an underlying vanilla-toffee depth and a light, distant touch of breezy peat smoke. A fresh and delicate whisky, Days makes a delicious sipping dram or sits beautifully in a refreshing highball.",https://img.thewhiskyexchange.com/900/japan_nik47.jpg,https://www.thewhiskyexchange.com/p/45577/nikka-days
Yamazakura Black Label Whisky,Japanese Blended Whisky,,,70cl / 40%,In Stock,£54.95,Yamazakura Black Label is a ji-whisky (made by a small distiller). This blended whisky was introduced in 2015 and is rarely seen outside Japan. Spicy with a hint of sweetness.,https://img.thewhiskyexchange.com/900/japan_yam45.jpg,https://www.thewhiskyexchange.com/p/37570/yamazakura-black-label-whisky
Nikka Taketsuru Pure Malt 2020 Release,Japanese Blended Malt Whisky,5,(1 Review),70cl / 43%,In Stock,£61.95,"The 2020 release of Nikka Taketsuru blended malt whisky is a smoky, full-bodied whisky with notes of rich oak spice, aromatic peat and sweet flowers throughout the palate.",https://img.thewhiskyexchange.com/900/japan_tak13.jpg,https://www.thewhiskyexchange.com/p/56192/nikka-taketsuru-pure-malt-2020-release
Akashi Red,Japanese Blended Whisky,4,(1 Review),50cl / 40%,In Stock,£30.45,"Akashi Red is made at the Eigashima (aka White Oak) distillery, which was founded in 1888. Produced by Akashi, this is a light and fruity whisky with notes of peach, almond and grape.",https://img.thewhiskyexchange.com/900/japan_aka4.jpg,https://www.thewhiskyexchange.com/p/37326/akashi-red
Yamazakura 963 8 Year Old,Japanese Blended Whisky,5,(2 Reviews),70cl / 59%,In Stock,£77.95,"A subtly spicy blended whisky from Japan, with notes of orchard fruits and caramel.",https://img.thewhiskyexchange.com/900/japan_yam47.jpg,https://www.thewhiskyexchange.com/p/39376/yamazakura-963-8-year-old
Togouchi Whisky 12 Year Old,Japanese Blended Whisky,4.5,(2 Reviews),70cl / 40%,In Stock,£81.25,"Togouchi's ageing warehouse must be one of the world's most unusual – it is an old railway tunnel in the eponymous town that was never used. This is the 12 year old, a blend of Scottish malt and Canadian grain that's fruity and citrus-rich.",https://img.thewhiskyexchange.com/900/japan_tog2.jpg,https://www.thewhiskyexchange.com/p/28520/togouchi-whisky-12-year-old
Akashi Single Malt Whisky,Japanese Single Malt Whisky,5,(1 Review),50cl / 46%,In Stock,£73.75,"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt.",https://img.thewhiskyexchange.com/900/japan_aka2.jpg,https://www.thewhiskyexchange.com/p/31531/akashi-single-malt-whisky
Kaiyo Mizunara Oak,Japanese Whisky,5,(2 Reviews),70cl / 43%,In Stock,£82.95,"Kaiyo's stock of Mizunara oak casks is its pride and joy. Known to impart a subtle and unusual collection of aromas and flavours to whisky during maturation, it's this wood which is often credited with setting Japanese whisky apart. Kaiyo doubles down on its cask maturation, sending the full casks off to sea for months at a time, allowing the natural motion to ensure constant movement, and thus contact between whisky and wood.",https://img.thewhiskyexchange.com/900/japan_kai1.jpg,https://www.thewhiskyexchange.com/p/45366/kaiyo-mizunara-oak
Enso Japanese Whisky,Japanese Blended Whisky,,,70cl / 40%,In Stock,£55.95,"A delicate Japanese blended whisky from Kiyokawa, in Kanagawa Prefecture, Enso has been distilled using pot stills and matured in American oak casks. Aromas of lemon blossom, orange zest, vanilla, caramel and soft smoke fills the nose, complemented by notes of toasted oak, crunchy apples, cinnamon, woody vanilla and honeysuckle on the palate. Enjoy this whisky neat or as part of your favourite cocktail.",https://img.thewhiskyexchange.com/900/japan_ens1.jpg,https://www.thewhiskyexchange.com/p/57245/enso-japanese-whisky
Akashi Blended Whisky,,3.5,(19 Reviews),50cl / 40%,In Stock,£32.95,"A lesser-known whisky outside the local Japanese market, this version of Akashi is specially produced for the European market using a mixture of Japanese and foreign-made malt and grain whisky to produce a reasonably priced everyday blend.",https://img.thewhiskyexchange.com/900/japan_aka1.jpg,https://www.thewhiskyexchange.com/p/16917/akashi-blended-whisky
Karuizawa 1984 28 Year Old Cocktail Series,Japanese Single Malt Whisky,,,70cl / 59.3%,In Stock,"£8,000",,https://img.thewhiskyexchange.com/900/japan_kar1984v7.jpg,https://www.thewhiskyexchange.com/p/28575/karuizawa-1984-28-year-old-cocktail-series
Nikka Pure Malt White,,4.5,(3 Reviews),50cl / 43%,In Stock,£150,"A very endearing, subtle malt with a strong whiff of peat, this is a curious but superb marriage of different Japanese malts – and it really delivers. Brilliant.",https://img.thewhiskyexchange.com/900/japan_nik4.jpg,https://www.thewhiskyexchange.com/p/2932/nikka-pure-malt-white
Tokinoka White Blended Whisky,Japanese Blended Whisky,,,50cl / 40%,In Stock,£32.95,"A Japanese blended whisky from White Oak distillery, Tokinoka White has delicate white chocolate and floral notes, alongside maple syrup, green apples and fiery pink peppercorn.",https://img.thewhiskyexchange.com/900/japan_tok2.jpg,https://www.thewhiskyexchange.com/p/49001/tokinoka-white-blended-whisky
Miyagikyo 10 Year Old,Japanese Single Malt Whisky,,,70cl / 45%,In Stock,£450,"A soft, clean, sweetly fruity and extremely approachable Japanese malt from the Miyagikyo distillery in Sendai, northern Japan.",https://img.thewhiskyexchange.com/900/japan_miy1.jpg,https://www.thewhiskyexchange.com/p/2924/miyagikyo-10-year-old
Karuizawa 1984 First Fill Sherry Cask #4021,Japanese Single Malt Whisky,,,70cl / 64.5%,In Stock,"£9,500","Another enormously potent first fill sherry cask from Karuizawa, this was distilled in 1984 and displays very big earthy savoury notes, overcooked Dundee cake, leathery fruit and a hint of smoke. At 64.5% a drop of water (or four) is perfectly acceptable, but we actually preferred this one neat.",https://img.thewhiskyexchange.com/900/japan_kar1984.jpg,https://www.thewhiskyexchange.com/p/17994/karuizawa-1984-first-fill-sherry-cask-4021
Karuizawa Spirit of Asama 55%,Japanese Single Malt Whisky,4,(3 Reviews),70cl / 55%,In Stock,"£2,000","A exclusive bottling of whisky from Karuizawa for TWE, part of a vatting from about 77 casks and bottled at 55%. It's a different prospect to the various single casks that shoot off the shelves, offering a great tasting overview of the distillery's character unencumbered by decades of sherry-cask maturation.",https://img.thewhiskyexchange.com/900/japan_asa2.jpg,https://www.thewhiskyexchange.com/p/18100/karuizawa-spirit-of-asama-55
